dcterms:title,dcterms:spatial,dcterms:date,art:url
FN-69A,"45.437611, 12.337035",1725 - 1798,https://scalar.usc.edu/works/decoding-diaspora/media/FN-69A.jpg
FN-69D,"42.391764, -71.032828",1864 - 1927,https://scalar.usc.edu/works/decoding-diaspora/media/FN-69D.jpg
FN-69C,"18.575394, -72.294708",1806 - 1868,https://scalar.usc.edu/works/decoding-diaspora/media/FN-69C.jpg
FN-70A,"40.446, -79.982",1937,https://scalar.usc.edu/works/decoding-diaspora/media/FN-70A.jpg
FN-70C,"14.883333, 5.266667",146 - 211AD,https://scalar.usc.edu/works/decoding-diaspora/media/FN-70C.jpg
FN-70D,"30.54323, 31.78504",1881,https://scalar.usc.edu/works/decoding-diaspora/media/FN-70D.jpg
FN-71A,"39.113014, -105.358887",1820,https://scalar.usc.edu/works/decoding-diaspora/media/FN-71A.jpg
FN-71C,"40.7128, 74.0060",1703,https://scalar.usc.edu/works/decoding-diaspora/media/FN-71C.jpg
FN-71D,"12.769013, -85.602364",1769 - 1859,https://scalar.usc.edu/works/decoding-diaspora/media/FN-71D.jpg
FN-72A,"28.644800, 77.216720",1365BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-72A.jpg
FN-72C,"30.001667, -90.092781",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-72C.jpg
FN-72D,"30.033333, 31.233334",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-72D.jpg
FN-73A,"41.047867, 28.898269",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-73A.jpg
FN-73D,"33.752491, 78.668243",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-73D.jpg
FN-73C,"6.465422, 3.406448",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-73C.jpg
FN-74A,"36.737232, 3.086472",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-74A.jpg
FN-74D,"31.76904, 35.21631",660 - 250BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-74D.jpg
FN-74C,"30.73918, -88.080482",1937,https://scalar.usc.edu/works/decoding-diaspora/media/FN-74C.jpg
FN-75A,"42.361145, -71.057083",1964,https://scalar.usc.edu/works/decoding-diaspora/media/FN-75A.jpg
FN-75C,"48.700001, 44.516666",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-75C.jpg
FN-75D,"30.033333, 31.233332",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-75D.jpg
FN-76A,"-4.769162, 11.866362",1700,https://scalar.usc.edu/works/decoding-diaspora/media/FN-76A.jpg
FN-76B,"40.034901, -75.337349",1714,https://scalar.usc.edu/works/decoding-diaspora/media/FN-76B.jpg
FN-76C,"30.001667, -90.092781",1862,https://scalar.usc.edu/works/decoding-diaspora/media/FN-76C.jpg
FN-77A,"18.370247, -76.890305",1947,https://scalar.usc.edu/works/decoding-diaspora/media/FN-77A.jpg
FN-77C,"-12.046374, -77.042793",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-77C.jpg
FN-77D,"18.079021, -15.965662",1938,https://scalar.usc.edu/works/decoding-diaspora/media/FN-77D.jpg
FN-78A,"30.033333, 31.233332",600BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-78A.jpg
FN-78D,"32.776566, -79.930923",1863,https://scalar.usc.edu/works/decoding-diaspora/media/FN-78D.jpg
FN-78C,"41.89193, 12.51133",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-78C.jpg
FN-79A,"-4.425849, 26.66572",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-79A.jpg
FN-79C,"48.858093,  2.294694",08-12-1790,https://scalar.usc.edu/works/decoding-diaspora/media/FN-79C.jpg
FN-79D,"51.507359,  -0.136439",1850,https://scalar.usc.edu/works/decoding-diaspora/media/FN-79D.jpg
FN-80A," -19.015438, 29.15485",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-80A.jpg
FN-80C,"6.24793, -57.5171",05-05-1641,https://scalar.usc.edu/works/decoding-diaspora/media/FN-80C.jpg
FN-80D,"42.085, -74.316",850BC,https://scalar.usc.edu/works/decoding-diaspora/media/FN-80D.jpg
FN-81A,"30.033333, 31.233332",1824 - 1904,https://scalar.usc.edu/works/decoding-diaspora/media/FN-81A.jpg
FN-81C," 37.541290, -77.434769",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-81C.jpg
FN-82A,"41.899647,12.487023",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-82A.jpg
FN-82D,"55.75222, 37.61556",1865,https://scalar.usc.edu/works/decoding-diaspora/media/FN-82D.jpg
FN-82C,"14.166666, 38.8999964",1894,https://scalar.usc.edu/works/decoding-diaspora/media/FN-82C.jpg
FN-83A,"9.30769, 2.315834",1100,https://scalar.usc.edu/works/decoding-diaspora/media/FN-83A.jpg
FN-83C,"15.240796, -61.31486",1958,https://scalar.usc.edu/works/decoding-diaspora/media/FN-83C.jpg
FN-83D,"28.1747, -81.8225",1502 - 1886,https://scalar.usc.edu/works/decoding-diaspora/media/FN-83D.jpg
FN-84A,"13.746389, 100.535004",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-84A.jpg
FN-84C,"15.508457, 32.522854",1896,https://scalar.usc.edu/works/decoding-diaspora/media/FN-84C.jpg
FN-85A,"32.430237, -85.707727",1948,https://scalar.usc.edu/works/decoding-diaspora/media/FN-85A.jpg
FN-85C,"38.900497,-77.007507",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-85C.jpg
FN-85D,"42.361145, -71.057083",01/01/1776,https://scalar.usc.edu/works/decoding-diaspora/media/FN-85D.jpg
FN-86A,"30.033333, 31.233332",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-86A.jpg
FN-86C,"8.43194, -13.28972",1860,https://scalar.usc.edu/works/decoding-diaspora/media/FN-86C.jpg
FN-86D,"30.033333, 31.233332",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-86D.jpg
FN-87A,,1875 - 1910,https://scalar.usc.edu/works/decoding-diaspora/media/FN-87A.jpg
FN-87C,"31.159591, -81.388552",,https://scalar.usc.edu/works/decoding-diaspora/media/FN-87C.jpg
FN-87D,"25.901747, -97.497484",5/13/1865,https://scalar.usc.edu/works/decoding-diaspora/media/FN-87D.jpg
FN-88C,"40.758701, -111.876183",1877,https://scalar.usc.edu/works/decoding-diaspora/media/FN-88C.jpg
